Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,2389,2394,2301.9,2333.1,174534
28-Apr-22,2352,2389.75,2336.65,2378.9,101337
27-Apr-22,2405,2420,2326,2334.6,166481
26-Apr-22,2303.9,2419.7,2294.85,2397,253308
25-Apr-22,2260,2298.45,2241.55,2287.2,198249
22-Apr-22,2300,2305.65,2265,2274.1,143136
21-Apr-22,2203.2,2292.9,2203.2,2286.55,77981
20-Apr-22,2188,2207,2162.15,2183.95,71714
19-Apr-22,2249.7,2255,2141.35,2170.65,98613
18-Apr-22,2185.9,2239.9,2157,2232.95,50628
13-Apr-22,2213,2216.15,2174.25,2198.8,82788
12-Apr-22,2192,2219.05,2156,2198.25,99908
11-Apr-22,2294,2294,2159.8,2178.65,95951
08-Apr-22,2109.6,2175.95,2105.9,2170.7,93236
07-Apr-22,2169,2215,2081.8,2098.6,241709
06-Apr-22,2157,2182.75,2125.6,2160,155028
05-Apr-22,2071,2198,2067.85,2141.85,260943
04-Apr-22,2058,2076,2032.15,2065.6,138444
01-Apr-22,2016,2048.7,2014,2044.25,96586
31-Mar-22,2014.9,2042.2,1990,2015.7,100515
30-Mar-22,1930,2014.2,1918,1993.95,207395
29-Mar-22,1923.8,1930,1886.05,1915.85,106848
28-Mar-22,1875,1924,1850.6,1908.55,1325278
25-Mar-22,1851.65,1899,1822.2,1869.6,325855
24-Mar-22,1812,1838.85,1800,1832.65,44456
23-Mar-22,1844.5,1849.7,1801.35,1812.1,47853
22-Mar-22,1792,1836.75,1790.55,1831.35,58525
21-Mar-22,1842,1842,1797,1803,37645
17-Mar-22,1771,1823,1759.3,1818.55,62959
16-Mar-22,1718.1,1763.8,1718.1,1757.45,69918
