Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,3250,3276.55,3220.75,3239.3,106143
28-Apr-22,3183,3267,3170.05,3248.3,117108
27-Apr-22,3100,3164.6,3085,3148.3,26346
26-Apr-22,3116,3150.1,3107,3125.6,36762
25-Apr-22,3105,3155,3095.15,3130.05,79066
22-Apr-22,3135,3171.25,3117.9,3164.75,22028
21-Apr-22,3095,3173.5,3090.5,3156.7,69664
20-Apr-22,3000,3089.2,2982,3083.2,28904
19-Apr-22,3022,3057.45,2970,2988.45,49127
18-Apr-22,3065,3065,3015,3022.35,48961
13-Apr-22,3130,3130,3067.35,3080.9,54380
12-Apr-22,3157,3162.55,3116.45,3131.75,32918
11-Apr-22,3188.85,3222.95,3150,3157.3,44523
08-Apr-22,3172.85,3219,3150.7,3206.7,63125
07-Apr-22,3145.4,3208.95,3145.4,3155.3,113031
06-Apr-22,3139.6,3165,3112.55,3155.05,47496
05-Apr-22,3116,3157.25,3080.8,3139.6,48658
04-Apr-22,3147,3147,3092.6,3117.65,60368
01-Apr-22,3105,3120,3088.2,3113.8,50461
31-Mar-22,3105,3129,3066.75,3081.75,42462
30-Mar-22,3075,3093,3055.75,3080.15,64503
29-Mar-22,3060.2,3087.85,3012.6,3043.55,41840
28-Mar-22,3059,3059,2997.7,3026.8,28495
25-Mar-22,3037.7,3063.65,2992,3046.4,24528
24-Mar-22,2970,3038.25,2951.25,3023.5,70568
23-Mar-22,3059.9,3079.9,3005,3016.15,51923
22-Mar-22,3015,3062.9,2975,3051.7,88520
21-Mar-22,3125,3125,3032.25,3045.75,43895
17-Mar-22,3110,3162.7,3083.75,3135,65790
16-Mar-22,3037,3049.9,3010.7,3041.6,72932
