Date,Open Price,High Price,Low Price,Close Price,No.of Shares
30-Mar-22,16.36,16.36,16.36,16.36,265736
29-Mar-22,15.59,15.59,15.59,15.59,83572
28-Mar-22,14.85,14.85,14.85,14.85,78665
25-Mar-22,13.9,14.58,13.9,14.15,795129
24-Mar-22,13.7,14.1,13.62,13.89,607932
23-Mar-22,14.8,14.92,14.26,14.26,559774
22-Mar-22,15.02,15.59,15.01,15.01,1042018
21-Mar-22,16.9,16.9,15.79,15.79,2352155
17-Mar-22,16.62,16.62,16.62,16.62,630790
16-Mar-22,15.83,15.83,15.83,15.83,242783
15-Mar-22,15.08,15.08,15.08,15.08,375524
14-Mar-22,14.37,14.37,14.37,14.37,235905
11-Mar-22,13.4,13.69,13.1,13.69,513562
10-Mar-22,13.2,13.42,12.91,13.04,236526
09-Mar-22,12.4,12.93,12.4,12.93,158081
08-Mar-22,12.3,12.67,12.11,12.32,215257
07-Mar-22,12.35,12.47,12.1,12.19,338215
04-Mar-22,13,13,12.45,12.71,124651
03-Mar-22,13.04,13.17,12.69,12.93,241815
02-Mar-22,12.55,13.02,12.3,12.72,226041
