Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,4030,4083.95,3909.45,3948.6,28673
28-Apr-22,3997.95,4052,3997.95,4025.5,28082
27-Apr-22,4024,4024,3962,3977.8,6848
26-Apr-22,3998,4048,3996.05,4040.75,9090
25-Apr-22,4013.95,4021,3977,3988.75,7937
22-Apr-22,4033.8,4060,3997,4028.8,18633
21-Apr-22,4095,4095,4015,4031,5303
20-Apr-22,4020,4064.95,4000,4054.4,28290
19-Apr-22,4065,4125.6,3975.1,4009,7997
18-Apr-22,4085,4085,4012.2,4055.8,12573
13-Apr-22,4099,4115.55,4081.15,4090.5,6127
12-Apr-22,4171,4176.1,4075,4085.65,9285
11-Apr-22,4148,4200,4128.4,4171.2,9698
08-Apr-22,4160,4208.95,4120.05,4144.65,8890
07-Apr-22,4100,4243,4090.95,4157.7,82757
06-Apr-22,4108,4137,4086.05,4103.1,10649
05-Apr-22,4139,4146,4100,4107.85,31906
04-Apr-22,4110,4149.95,4075,4107.1,52376
01-Apr-22,4024,4101.75,4001.8,4082.3,14113
31-Mar-22,4012,4040,3985.6,3999.45,14878
30-Mar-22,4049,4083.4,3948,3972.75,63102
29-Mar-22,4020,4037.7,3986,4006.1,15522
28-Mar-22,4036,4036,3975,4008.35,14594
25-Mar-22,4070,4070,3996,4000.85,38846
24-Mar-22,4075,4089.95,4031.55,4043.85,16329
23-Mar-22,4080,4116.45,4067.35,4089.3,29285
22-Mar-22,4121.1,4121.1,4031.1,4055.05,24369
21-Mar-22,4203,4210,4082,4097.4,30205
17-Mar-22,4225,4239.85,4165.55,4193.1,28852
16-Mar-22,4225,4240,4156.5,4169.65,13861
