Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,1379.9,1404.7,1372,1384.75,226194
28-Apr-22,1375,1375.8,1362,1371.05,250493
27-Apr-22,1360,1378.3,1355.25,1372.65,359986
26-Apr-22,1374.8,1383.8,1357.15,1372.35,198963
25-Apr-22,1352.6,1370.7,1323.9,1365.55,274235
22-Apr-22,1358.75,1375.45,1349.55,1355.45,1157614
21-Apr-22,1364.9,1379.7,1353.35,1374.25,563772
20-Apr-22,1355,1360,1336,1354.65,888415
19-Apr-22,1385,1388.6,1328,1343.3,2091982
18-Apr-22,1440,1440,1390.1,1395.35,493756
13-Apr-22,1492.9,1501.95,1462.35,1464.85,286246
12-Apr-22,1483.9,1507,1481,1493.25,463987
11-Apr-22,1510,1510,1494,1496.2,413938
08-Apr-22,1513,1525,1496.95,1515.1,472233
07-Apr-22,1543.75,1543.75,1514,1516.9,263571
06-Apr-22,1599,1599,1548.45,1550.8,333541
05-Apr-22,1671,1671,1602,1607.15,410187
04-Apr-22,1562.3,1721.85,1562.3,1656.45,3684112
01-Apr-22,1474,1509.9,1471,1506.3,178324
31-Mar-22,1478,1484.35,1465.6,1469.95,66274
30-Mar-22,1465,1483,1454.1,1476.4,349900
29-Mar-22,1440,1460,1430,1452.95,294890
28-Mar-22,1432.15,1436.8,1401.6,1432.9,322868
25-Mar-22,1448,1451.1,1418.8,1431.75,404381
24-Mar-22,1466,1466.05,1434.95,1442.7,170544
23-Mar-22,1502,1517.8,1464,1475.65,228931
22-Mar-22,1485,1497.95,1457.15,1494.45,490620
21-Mar-22,1487,1493.7,1471.75,1486.05,219081
17-Mar-22,1474.65,1489.9,1469.7,1480.25,131873
16-Mar-22,1450,1454.85,1436.6,1447.85,115220
