Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,761,766.15,745,746.3,75795
28-Apr-22,760.9,760.9,744.15,757.15,73677
27-Apr-22,757.7,758.55,742,748.2,78576
26-Apr-22,749,762.5,749,760.95,63055
25-Apr-22,749,754,740.5,745.45,70086
22-Apr-22,756,765.95,752,755.2,73239
21-Apr-22,761,761,751.15,759.45,226174
20-Apr-22,757.95,761.7,742.55,747.75,264399
19-Apr-22,774,777.65,745.55,752.85,96232
18-Apr-22,779.95,779.95,757.5,766.8,328938
13-Apr-22,790.05,793.55,778.45,780.45,196601
12-Apr-22,807,807,776.25,783.9,155048
11-Apr-22,790,809,789.9,801.35,366255
08-Apr-22,790,798.95,789,790.45,104897
07-Apr-22,793.75,800.95,784.4,787.65,510023
06-Apr-22,815,829.2,788,792.2,573453
05-Apr-22,838,840.05,820.05,822.9,424708
04-Apr-22,802,837.5,802,832.9,317372
01-Apr-22,784,802.5,776,798.2,188248
31-Mar-22,790,792.95,772.35,774.6,140749
30-Mar-22,774,794.75,769.45,789.35,257931
29-Mar-22,766,775,765.9,767.25,351273
28-Mar-22,773,776.65,758.6,766.3,364104
25-Mar-22,778,779,767.8,770.15,78981
24-Mar-22,766,779,760.25,772,265132
23-Mar-22,774.35,785.8,763.85,766.6,119225
22-Mar-22,773,773.95,752.25,765.7,235516
21-Mar-22,776.8,781.95,768,770.3,275837
17-Mar-22,775,779.5,767.3,770.75,93565
16-Mar-22,768,774.2,764.6,768,181285
