Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,507.5,512.45,494.15,496.5,400939
28-Apr-22,499.7,509.9,496.5,507.05,347902
27-Apr-22,500,503,491.85,497,626412
26-Apr-22,499.6,510,499.25,506,321411
25-Apr-22,496,499.15,490,494.7,386460
22-Apr-22,513.9,513.95,499.2,500.4,464903
21-Apr-22,512.7,517.75,512.7,516.3,451039
20-Apr-22,512.8,513.65,507,509.35,346641
19-Apr-22,514.7,520.9,505.05,511.65,345906
18-Apr-22,512.6,515.1,504.25,509.4,387773
13-Apr-22,514.9,520.75,513.85,517.5,346944
12-Apr-22,513.95,516.45,504.3,512.7,781283
11-Apr-22,514,522,513.05,514.95,624986
08-Apr-22,518.5,518.75,512.6,516.1,802473
07-Apr-22,511.8,519.9,511,515.1,1137060
06-Apr-22,507.05,515.25,506.35,514.05,582561
05-Apr-22,513.5,516.3,508,509.3,864684
04-Apr-22,510,514.65,506.15,512.55,1013630
01-Apr-22,492.3,509.5,491.7,508.2,600796
31-Mar-22,495.4,497.4,492.2,493.4,354982
30-Mar-22,500.2,500.35,492.3,494.2,344125
29-Mar-22,499.1,501.4,491.9,494.95,461843
28-Mar-22,492,498.8,482.1,497.4,595404
25-Mar-22,491.3,493.15,486.75,490.35,511009
24-Mar-22,485.5,494.7,483.85,487,810390
23-Mar-22,498,502.3,489.1,490.65,1190281
22-Mar-22,490.6,495.6,477.35,493.9,1375243
21-Mar-22,502.3,502.6,489.05,490.6,553338
17-Mar-22,497.95,503.45,497.95,501.75,573310
16-Mar-22,492.5,494.1,489.45,492.55,915455
