Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,145,150,139.55,139.6,838189
28-Apr-22,150.5,156.9,145.65,146.85,1253319
27-Apr-22,163,165.9,151.8,153.3,1915403
26-Apr-22,155.8,167.1,151.2,159.65,1668277
25-Apr-22,161.5,163.65,159.15,159.15,511184
22-Apr-22,175.35,178.7,165.1,167.5,2216840
21-Apr-22,173.3,173.3,173.3,173.3,455431
20-Apr-22,159.35,170.1,159.35,165.05,1893453
19-Apr-22,167.7,167.7,167.7,167.7,111122
18-Apr-22,177.55,178,176.5,176.5,310386
13-Apr-22,199,200.7,185.25,185.75,1637588
12-Apr-22,204.85,209,190.1,194.95,2076745
11-Apr-22,189.05,199.5,184.4,199.5,1974354
08-Apr-22,187,201.2,183,190,4183714
07-Apr-22,210,210,192.6,192.6,6902467
06-Apr-22,202.7,202.7,202.7,202.7,773478
05-Apr-22,190.45,193.05,185.75,193.05,973419
04-Apr-22,183.9,183.9,175.15,183.9,1771576
01-Apr-22,175.15,175.15,175.15,175.15,531549
31-Mar-22,166.85,166.85,164,166.85,2364673
30-Mar-22,144.5,158.95,144.5,158.95,1524333
29-Mar-22,154.3,155.9,151.4,151.4,1129920
28-Mar-22,171.9,171.9,159.35,159.35,672108
25-Mar-22,167.7,167.7,164.55,167.7,1579184
24-Mar-22,159.75,159.75,159.75,159.75,313320
23-Mar-22,152.15,152.15,152.15,152.15,397667
22-Mar-22,144.95,144.95,144.95,144.95,234697
21-Mar-22,133,138.05,131.5,138.05,831920
17-Mar-22,131.5,131.5,126.5,131.5,3063303
16-Mar-22,125.25,125.25,125.25,125.25,342199
