Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,679,686.25,651.4,655.1,70289
28-Apr-22,693.3,693.65,677.8,680.85,60455
27-Apr-22,676.25,689.95,671.75,686.65,91272
26-Apr-22,664,683.85,655.55,682.15,145736
25-Apr-22,646.8,654,637.45,649.3,114102
22-Apr-22,653.9,661,631.4,645.05,53694
21-Apr-22,645.1,663,645.1,658.1,27531
20-Apr-22,645,657.2,637.45,651.7,38052
19-Apr-22,655,659.9,632.45,639.85,20986
18-Apr-22,650,664.75,640.95,655.7,2556313
13-Apr-22,664.2,664.2,648.55,649.95,21833
12-Apr-22,650.35,652.45,639.6,650.05,135963
11-Apr-22,656,660.35,649.4,650.35,106271
08-Apr-22,640.25,655.9,640.2,653.3,39330
07-Apr-22,652.45,652.45,635.85,637.4,20326
06-Apr-22,650.6,650.6,630.5,647.85,56256
05-Apr-22,633.6,642.2,632.7,635.75,23800
04-Apr-22,635,635,626.95,632.75,59753
01-Apr-22,621.05,629.95,619.5,628.85,39514
31-Mar-22,625,628,617.55,625.65,42902
30-Mar-22,620.9,626.8,616.75,622.25,43171
29-Mar-22,612.5,617.15,609.3,612.6,133438
28-Mar-22,603.05,611.2,602.35,607.25,40959
25-Mar-22,607.85,614.65,601,602.85,22196
24-Mar-22,614,616.55,606,608.75,21853
23-Mar-22,619.5,619.5,608.05,610.8,31848
22-Mar-22,602.75,614.3,599.9,612.65,56610
21-Mar-22,619,620.4,605.8,609,33561
17-Mar-22,614.7,623.35,610.15,611.5,49238
16-Mar-22,599,611.9,599,609.75,54656
