Date,Open Price,High Price,Low Price,Close Price,No.of Shares
29-Apr-22,74.65,74.8,71.15,71.7,1545342
28-Apr-22,77.3,77.55,73.5,73.85,2658903
27-Apr-22,79.45,79.55,75.55,75.9,1852471
26-Apr-22,80.8,80.8,78.55,79.6,947703
25-Apr-22,80.95,81.65,78.5,78.75,1212098
22-Apr-22,80.8,81.75,80.2,81.15,653124
21-Apr-22,80.8,81.85,80.65,80.8,1123295
20-Apr-22,82,82.25,80,80.35,1283110
19-Apr-22,83,83.9,79.45,80.4,1897478
18-Apr-22,83.85,84.4,82.5,82.95,1927312
13-Apr-22,83.1,88.2,82.2,83.9,4018995
12-Apr-22,84,84.2,81.05,81.45,1788938
11-Apr-22,83.4,85.7,82.95,84.45,2071206
08-Apr-22,83.5,85.5,82.75,83.4,2031211
07-Apr-22,85,85.2,82.2,82.5,1488878
06-Apr-22,83.9,85.25,83.5,84.55,738108
05-Apr-22,82.75,85.1,82.15,83.85,1656760
04-Apr-22,84.8,87.65,84.45,86.2,1203210
01-Apr-22,82.3,85.5,82,84.3,1883942
31-Mar-22,88,88.4,81.75,82.3,3228307
30-Mar-22,78.5,86,78.5,85.3,4723177
29-Mar-22,80,80.55,78,78.2,1796332
28-Mar-22,80.4,81,79.2,79.65,1649113
25-Mar-22,81.5,81.85,80.2,80.65,912077
24-Mar-22,80.25,82.3,80,80.3,885464
23-Mar-22,82,82,80.2,80.7,1084104
22-Mar-22,81.15,81.85,79.3,81.1,1516610
21-Mar-22,81.55,83.3,79.35,80.35,1434798
17-Mar-22,77.15,81.9,76.85,80.7,4335277
16-Mar-22,79.95,79.95,75.55,75.95,3732438
