Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-March-2022,16.36,16.36,16.36,16.36,16.359996387391998073,265736,375,4347440.00,265736,100.00,0.00,0.00
29-March-2022,15.59,15.59,15.59,15.59,15.589994256449528550,83572,195,1302887.00,83572,100.00,0.00,0.00
28-March-2022,14.85,14.85,14.85,14.85,14.849996821966567088,78665,288,1168175.00,78660,99.99,0.00,0.00
25-March-2022,13.90,14.58,13.90,14.15,14.405886340455448109,795129,1570,11454538.00,380485,47.85,0.68,0.25
24-March-2022,13.70,14.10,13.62,13.89,13.820466762730042175,607932,1627,8401904.00,409659,67.39,0.48,0.19
23-March-2022,14.80,14.92,14.26,14.26,14.420128480422456205,559774,1426,8072013.00,298090,53.25,0.66,-0.54
22-March-2022,15.02,15.59,15.01,15.01,15.076889266788097710,1042018,1671,15710390.00,630710,60.53,0.58,-0.01
21-March-2022,16.90,16.90,15.79,15.79,16.239219354166710952,2352155,3345,38197161.00,1684054,71.60,1.11,-1.11
17-March-2022,16.62,16.62,16.62,16.62,16.619998731749076554,630790,700,10483729.00,630790,100.00,0.00,0.00
16-March-2022,15.83,15.83,15.83,15.83,15.829996334174962826,242783,483,3843254.00,242780,100.00,0.00,0.00
15-March-2022,15.08,15.08,15.08,15.08,15.079997550090007562,375524,497,5662901.00,375524,100.00,0.00,0.00
14-March-2022,14.37,14.37,14.37,14.37,14.369996396854666073,235905,383,3389954.00,235905,100.00,0.00,0.00
11-March-2022,13.40,13.69,13.10,13.69,13.618079219256876482,513562,843,6993728.00,332436,64.73,0.59,0.29
10-March-2022,13.20,13.42,12.91,13.04,13.143595207292221573,236526,773,3108802.00,148977,62.99,0.51,-0.16
9-March-2022,12.40,12.93,12.40,12.93,12.770516380842732523,158081,563,2018776.00,122774,77.67,0.53,0.53
8-March-2022,12.30,12.67,12.11,12.32,12.367597801697505772,215257,926,2662212.00,128359,59.63,0.56,0.02
7-March-2022,12.35,12.47,12.10,12.19,12.267409783717457830,338215,1112,4149022.00,215570,63.74,0.37,-0.16
4-March-2022,13.00,13.00,12.45,12.71,12.730992932266889154,124651,506,1586931.00,71477,57.34,0.55,-0.29
3-March-2022,13.04,13.17,12.69,12.93,13.002018071666356512,241815,879,3144083.00,140126,57.95,0.48,-0.11
2-March-2022,12.55,13.02,12.30,12.72,12.742595369866528638,226041,904,2880349.00,159447,70.54,0.72,0.17
